"course_name","course_rating","course_provider","course_review_num","course_terms"
"Boundless Achievements: Achieve Whatever You Want To",10,"Udemy","33","boundless achiev achiev whatev you want to"
"Make an Extra $1K - $10K a Month Selling On Amazon",10,"Udemy","32","make an extra k k a month sell on amazon"
"Aprende a Crear un Curso Online",10,"Udemy","33","aprend a crear un curso onlin"
"Travel Hacking: How to Travel the World for Next to Nothing",10,"Udemy","33","travel hack how to travel the world for next to noth"
"Street Photography: How to approach people on the streets",10,"Udemy","33","street photographi how to approach peopl on the street"
"Aprende a Decorar Tartas Fondant desde cero y paso a paso",10,"Udemy","33","aprend a decorar tarta fondant desd cero y paso a paso"
"The Ultimate Excel Programmer Course",10,"Udemy","32","the ultim excel programm cours"
"Prenatal Yoga: Strengthening and Opening",10,"Udemy","31","prenat yoga strengthen and open"
"After Effects Advanced Motion Graphics",10,"Udemy","30","after effect advanc motion graphic"
"Secrets How I Earn up to $4000/mo with Mobile Photography!",10,"Udemy","30","secret how i earn up to mo with mobil photographi"
"Video Marketing Best Practices for Your Business",10,"Udemy","30","video market best practic for your busi"
"PowerPoint for Busy People - Make PowerPoint Work For You!",10,"Udemy","30","powerpoint for busi peopl make powerpoint work for you"
"Preparation for PMI Risk Management Professional (RMP)® exam",10,"Udemy","30","prepar for pmi risk manag profession rmp exam"
"Photography: Taking Family Portraits Like a Pro!",10,"Udemy","31","photographi take famili portrait like a pro"
"Basics Of Web Application Penetration Testing",10,"Udemy","31","basic of web applic penetr test"
"Ruby on Rails: Training and Skills to Build Web Applications",10,"Udemy","31","rubi on rail train and skill to build web applic"
"Learn WordPress - A Quick and Easy Guide",10,"Udemy","29","learn wordpress a quick and easi guid"
"Android Studio Course. Learn Android, build Apps. Lollipop",10,"Udemy","30","android studio cours learn android build app lollipop"
"NLP Exercises for Greater Self Confidence - A Fuller Life!",10,"Udemy","29","nlp exercis for greater self confid a fuller life"
"Introduction to Operations Management",10,"edX","29","introduct to oper manag"
"Make Your First Real Dollar In ClickBank – With No Website",10,"Udemy","30","make your first real dollar in clickbank with no websit"
"Balance your mood, manage your stress and flourish",10,"Udemy","29","balanc your mood manag your stress and flourish"
"Double Your Productivity and Get Important Things Done",10,"Udemy","29","doubl your product and get import thing done"
"Career Hacking: Resume/CV, LinkedIn®, Interviewing, +More",10,"Udemy","30","career hack resum cv linkedin interview more"
"Chinese Thought: Ancient Wisdom Meets Modern Science - Part 1",10,"edX","30","chines thought ancient wisdom meet modern scienc part"
"How I Generated $2896 On Fiverr With Little Effort",10,"Udemy","30","how i generat on fiverr with littl effort"
"How to Stop Binge Eating",10,"Udemy","28","how to stop bing eat"
"Kindle Launch Plan: $1400 in 30 Days & an Amazon Bestseller",10,"Udemy","28","kindl launch plan in day an amazon bestsel"
"How to Manage & Influence Your Virtual Team",10,"Udemy","28","how to manag influenc your virtual team"
"The Willpower Solution: Habits to Master Self-control",10,"Udemy","28","the willpow solut habit to master self control"
"Affiliate Marketing - Make Passive Income Online",10,"Udemy","28","affili market make passiv incom onlin"
"Deep Dive Screencast Training: Camtasia Studio 8 (Windows)",10,"Udemy","29","deep dive screencast train camtasia studio window"
"Learn Complete Salesforce Step by Step from Scratch",10,"Udemy","28","learn complet salesforc step by step from scratch"
"CCNA Security 2015 640-554 Video Boot Camp With Chris Bryant",10,"Udemy","28","ccna secur video boot camp with chris bryant"
"Cisco CCNA (200-120): The Complete Course",10,"Udemy","28","cisco ccna the complet cours"
"Hack Kickstarter - 6 Experts Reveal How They Crowdfunded $1m",10,"Udemy","29","hack kickstart expert reveal how they crowdfund m"
"WordPress Step-By-Step: Create a Website With No Coding",10,"Udemy","27","wordpress step by step creat a websit with no code"
"YouTube Secrets - Your Thumbnails and Graphics Are Crucial",10,"Udemy","27","youtub secret your thumbnail and graphic are crucial"
"Video Creation Fast Track",10,"Udemy","28","video creation fast track"
"The Ultimate Guide to Building a Personal Brand",10,"Udemy","27","the ultim guid to build a person brand"
"Chinese Thought: Ancient Wisdom Meets Modern Science - Part 2",10,"edX","27","chines thought ancient wisdom meet modern scienc part"
"Hebrew For Beginners",10,"Udemy","27","hebrew for beginn"
"Advanced Close Combat Training: Scientific Self Defense",10,"Udemy","26","advanc close combat train scientif self defens"
"Affiliate Marketing - Make Easy Sales With Affiliate Links",10,"Udemy","28","affili market make easi sale with affili link"
"Programming for Complete Beginners in C#",10,"Udemy","27","program for complet beginn in c"
"Marketing strategy to reach 1,000,000 people",10,"Udemy","26","market strategi to reach peopl"
"Deploy & Conquer: Learn Explainer Video Business Secrets",10,"Udemy","26","deploy conquer learn explain video busi secret"
"How to create an awesome demo video in Keynote",10,"Udemy","26","how to creat an awesom demo video in keynot"
"Microsoft Project: How to Create Your Project Plan",10,"Udemy","26","microsoft project how to creat your project plan"
"Mini Habit Mastery: The Scientific Way To Change Your Habits",10,"Udemy","27","mini habit masteri the scientif way to chang your habit"
"YouTube Secrets - Making Money From Your Own YouTube Videos",10,"Udemy","26","youtub secret make money from your own youtub video"
"Java Essentials for Android",10,"Udemy","26","java essenti for android"
"Online Marketing and Social Media Strategy",10,"Udemy","26","onlin market and social media strategi"
"Portrait Photography with Simple Gear",10,"Udemy","26","portrait photographi with simpl gear"
